articles_count,authfull,books_count,books_pct,cambridge_count,cambridge_pct,citation_coverage,country,coverage_ratio,elsevier_citations,elsevier_citations_pct,elsevier_count,elsevier_pct,field,field_type,frontiers_count,institution,match_quality,mdpi_count,oa_count,oa_pct,oa_publisher_count,oa_publisher_pct,openalex_citations,openalex_found,openalex_id,openalex_name,openalex_pubs,oxford_count,oxford_pct,plos_count,publisher_counts,sample_id,sample_stratum,scopus_citations,scopus_h_index,scopus_pubs,springer_count,springer_pct,total_citations,total_works,wiley_count,wiley_pct
89.0,"Ghodsee, Kristen R.",67.0,42.94871794871795,,,0.4472450175849941,,0.2948717948717949,185.0,10.844079718640094,8.0,5.128205128205128,History,book_heavy,0.0,,good,,22.0,14.102564102564102,0.0,0.0,1706.0,True,https://openalex.org/A5023387611,Kristen Ghodsee,156.0,,,0.0,"{""Unknown"": 72, ""Other"": 43, ""Wiley"": 11, ""Elsevier"": 8, ""Taylor & Francis"": 7, ""Oxford"": 7, ""Springer Nature"": 6, ""Cambridge"": 2}",21,top_quartile,763,15,46,6.0,3.8461538461538463,1706.0,156.0,11.0,7.051282051282051
86.0,"Benton, Lauren",83.0,49.11242603550296,,,0.260408635312259,,0.301775147928994,81.0,1.561295296838859,5.0,2.9585798816568047,History,book_heavy,0.0,,good,,25.0,14.792899408284024,0.0,0.0,5188.0,True,https://openalex.org/A5112763649,Lauren Benton,169.0,,,0.0,"{""Cambridge"": 60, ""Other"": 46, ""Unknown"": 35, ""Oxford"": 12, ""Taylor & Francis"": 5, ""Elsevier"": 5, ""Wiley"": 3, ""Springer Nature"": 3}",22,top_quartile,1351,19,51,3.0,1.7751479289940828,5188.0,169.0,3.0,1.7751479289940828
108.0,"Rosenwein, Barbara H.",104.0,49.0566037735849,,,0.3050239234449761,,0.1320754716981132,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,23.0,10.849056603773583,0.0,0.0,4180.0,True,https://openalex.org/A5000021925,Barbara H. Rosenwein,212.0,,,0.0,"{""Other"": 71, ""Cambridge"": 61, ""Unknown"": 53, ""Oxford"": 20, ""Wiley"": 4, ""Taylor & Francis"": 3}",23,top_quartile,1275,10,28,0.0,0.0,4180.0,212.0,4.0,1.8867924528301887
78.0,"Bingham, Adrian",63.0,44.680851063829785,,,0.7967032967032966,,0.2695035460992908,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,13.0,9.219858156028367,0.0,0.0,1092.0,True,https://openalex.org/A5005092362,Adrian Bingham,141.0,,,0.0,"{""Unknown"": 38, ""Other"": 36, ""Oxford"": 32, ""Taylor & Francis"": 18, ""Wiley"": 7, ""Springer Nature"": 6, ""Cambridge"": 4}",24,top_quartile,870,13,38,6.0,4.25531914893617,1092.0,141.0,7.0,4.964539007092199
96.0,"Garrioch, David",35.0,26.7175572519084,,,0.6518847006651884,,0.2366412213740458,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,11.0,8.396946564885496,0.0,0.0,902.0,True,https://openalex.org/A5002832775,David Garrioch,131.0,,,0.0,"{""Unknown"": 41, ""Other"": 38, ""Cambridge"": 22, ""Oxford"": 16, ""Taylor & Francis"": 10, ""Wiley"": 4}",25,bottom_quartile,588,9,31,0.0,0.0,902.0,131.0,4.0,3.0534351145038165
81.0,"Althoff, Gerd",93.0,53.44827586206896,,,0.3570274636510501,,0.2183908045977011,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,28.0,16.091954022988507,0.0,0.0,1238.0,True,https://openalex.org/A5041256125,Gerd Althoff,174.0,,,0.0,"{""Unknown"": 96, ""Other"": 65, ""Cambridge"": 7, ""Springer Nature"": 3, ""Taylor & Francis"": 2, ""Oxford"": 1}",26,bottom_quartile,442,12,38,3.0,1.7241379310344829,1238.0,174.0,0.0,0.0
282.0,"Brundage, James A.",65.0,18.73198847262248,,,0.0641003900288282,,0.0979827089337175,0.0,0.0,2.0,0.5763688760806917,History,book_heavy,0.0,,good,,8.0,2.3054755043227666,0.0,0.0,5897.0,True,https://openalex.org/A5108471194,James A. Brundage,347.0,,,0.0,"{""Other"": 120, ""Unknown"": 74, ""Cambridge"": 72, ""Oxford"": 51, ""Taylor & Francis"": 22, ""Springer Nature"": 4, ""Wiley"": 2, ""Elsevier"": 2}",27,bottom_quartile,378,12,34,4.0,1.1527377521613833,5897.0,347.0,2.0,0.5763688760806917
176.0,"Gabaccia, Donna R.",57.0,24.46351931330472,,,0.2430747922437673,,0.2575107296137339,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,19.0,8.15450643776824,0.0,0.0,4332.0,True,https://openalex.org/A5008020998,Donna R. Gabaccía,233.0,,,0.0,"{""Other"": 78, ""Unknown"": 56, ""Oxford"": 51, ""Cambridge"": 29, ""Taylor & Francis"": 12, ""Wiley"": 5, ""Springer Nature"": 2}",28,bottom_quartile,1053,11,60,2.0,0.8583690987124464,4332.0,233.0,5.0,2.145922746781116
2.0,"Frend, William H.C.",1.0,33.33333333333333,,,3.414414414414414,,15.333333333333334,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,0.0,0.0,0.0,0.0,111.0,True,https://openalex.org/A5039914226,William H.C. Frend,3.0,,,0.0,"{""Unknown"": 2, ""Other"": 1}",29,bottom_quartile,379,12,46,0.0,0.0,111.0,3.0,0.0,0.0
181.0,"Browning, Christopher R.",69.0,27.6,,,0.0650076180802437,,0.152,1083.0,11.000507872016252,32.0,12.8,History,book_heavy,0.0,,good,,86.0,34.4,0.0,0.0,9845.0,True,https://openalex.org/A5057794678,Christopher R. Browning,250.0,,,0.0,"{""Other"": 82, ""Unknown"": 43, ""Elsevier"": 32, ""Oxford"": 26, ""Springer Nature"": 26, ""Cambridge"": 20, ""Wiley"": 12, ""Taylor & Francis"": 9}",30,bottom_quartile,640,8,38,26.0,10.4,9845.0,250.0,12.0,4.8
