authfull,field,field_type,rank_openalex,rank_global,c_score_openalex,elsevier_pct,nc,h,scopus_pubs,scopus_citations,rank_change
"Hidi, Suzanne E.",Education,mixed,61.0,34694.0,4.711169392206622,17.391304347826086,18585,44,55.0,8958.0,34633.0
"DeKeyser, Robert M.",Languages & Linguistics,mixed,62.0,40016.0,4.710778105140543,1.574803149606299,12334,45,67.0,4778.0,39954.0
"Buchan, Alastair M.",Neurology & Neurosurgery,journal_heavy,63.0,21771.0,4.70406183919153,10.55363321799308,27982,84,,,21708.0
"Levy, Neil L.",Philosophy,book_heavy,64.0,33195.0,4.694582067225057,4.264392324093817,8471,53,233.0,4456.0,33131.0
"Bratton, Michaël",Political Science & Public Administration,mixed,65.0,38692.0,4.693624116799375,2.5974025974025974,13272,48,50.0,5831.0,38627.0
"Hughes, Richard A.C.",Neurology & Neurosurgery,journal_heavy,66.0,3611.0,4.6908857078046555,31.654676258992804,28578,80,,,3545.0
"Matthes, Jörg",Communication & Media Studies,mixed,67.0,23670.0,4.69060497684428,7.4074074074074066,18284,62,246.0,10883.0,23603.0
"Puar, Jasbir Kaur",Literary Studies,book_heavy,68.0,162406.0,4.6905390120800075,0.0,12886,33,,,162338.0
"Smith, Christian S.",Religions & Theology,book_heavy,69.0,79878.0,4.683121793608048,0.0,11883,54,,,79809.0
"Murshudov, Garib N.",Biochemistry & Molecular Biology,journal_heavy,70.0,24932.0,4.679450311912959,10.232558139534884,60815,58,,,24862.0
"Samelson, Lawrence E.",Immunology,journal_heavy,71.0,23513.0,4.671386778264025,26.25,28398,88,213.0,19602.0,23442.0
"Bhatia, Kailash P.",Neurology & Neurosurgery,journal_heavy,72.0,7064.0,4.669613775257617,11.104405552202776,45454,115,,,6992.0
"Fiedler, Fred E.",Business & Management,mixed,73.0,100052.0,4.6592131010832745,9.29203539823009,14293,44,,,99979.0
"Povinelli, Elizabeth A.",Anthropology,book_heavy,74.0,159348.0,4.657522931777308,0.0,11797,32,56.0,1620.0,159274.0
"Reeves, Thomas Charles",Education,mixed,75.0,97035.0,4.654572082336224,2.4024024024024024,15699,57,101.0,4262.0,96960.0
"Marwick, Alice E.",Communication & Media Studies,mixed,76.0,31242.0,4.6533465274519505,1.7699115044247788,15502,38,41.0,8383.0,31166.0
"Guthman, Julie",Geography,mixed,77.0,16492.0,4.650119632647143,2.941176470588235,9845,41,82.0,7561.0,16415.0
"Yoon, Tehshik P.",Organic Chemistry,journal_heavy,78.0,19068.0,4.648442489729506,3.8461538461538463,24007,62,119.0,19196.0,18990.0
"Heinz, Ulrich W.",Nuclear & Particle Physics,journal_heavy,79.0,8612.0,4.6473741818092265,17.670682730923694,21080,79,342.0,22525.0,8533.0
"Mervis, Carolyn B.",Genetics & Heredity,journal_heavy,80.0,39587.0,4.646576535666398,18.565400843881857,30794,66,157.0,16189.0,39507.0
"Smyth, Russell",Economics,mixed,81.0,20415.0,4.640398106473763,21.393034825870647,20428,81,,,20334.0
"Alter, Blanche P.",Immunology,journal_heavy,82.0,17427.0,4.638348244947327,39.268292682926834,18283,73,262.0,13817.0,17345.0
"Andrews, Peter J.",Anthropology,book_heavy,83.0,33887.0,4.635779217162698,27.33812949640288,13097,62,166.0,7280.0,33804.0
"Yeates, Todd O.",Biochemistry & Molecular Biology,journal_heavy,84.0,18696.0,4.631983073886925,12.780269058295964,28850,74,209.0,23100.0,18612.0
"Webb, Stuart Alexander",Languages & Linguistics,mixed,85.0,34288.0,4.631100426343636,5.88235294117647,10494,53,101.0,5511.0,34203.0
"Page, Scott E.",Economics,mixed,86.0,24256.0,4.618114777073802,10.256410256410255,13486,38,88.0,9460.0,24170.0
"Bochmann, M.",Organic Chemistry,journal_heavy,87.0,9847.0,4.607517149096092,6.993865030674846,14230,66,,,9760.0
"Grushin, Vladimir V.",Organic Chemistry,journal_heavy,88.0,14723.0,4.605928102323594,2.8871391076115485,12499,57,124.0,11104.0,14635.0
"Lee, Icy",Languages & Linguistics,mixed,89.0,31399.0,4.599213762379372,22.727272727272727,7782,48,113.0,4323.0,31310.0
"Crino, Peter B.",Neurology & Neurosurgery,journal_heavy,90.0,17011.0,4.597290085203543,16.228070175438596,18200,69,182.0,15554.0,16921.0
"Lubell, Mark N.",Political Science & Public Administration,mixed,91.0,23326.0,4.595392459483548,13.302752293577983,13943,64,132.0,9356.0,23235.0
"Livingstone, David N.",Geography,mixed,92.0,94002.0,4.591229382818494,4.1343669250646,8040,43,91.0,2052.0,93910.0
"Quentin Grafton, R. Quentin",Economics,mixed,93.0,24872.0,4.590825685698949,5.667627281460135,13771,63,,,24779.0
"White, Tim D.",Anthropology,book_heavy,94.0,27643.0,4.586726947773855,29.2,15683,61,,,27549.0
"Lang, Annie",Communication & Media Studies,mixed,95.0,28379.0,4.581938245625335,1.3245033112582782,10537,50,90.0,6999.0,28284.0
"Schiffer, Michael Brian",Archaeology,book_heavy,96.0,65579.0,4.579596868624104,5.829596412556054,8868,46,66.0,3411.0,65483.0
"Warner, Michael",Anthropology,book_heavy,97.0,146944.0,4.574321921831155,1.3245033112582782,15119,25,11.0,3507.0,146847.0
"Levine, David I.",Economics,mixed,98.0,110756.0,4.573195624326526,8.393285371702639,15649,54,94.0,6383.0,110658.0
"Wang, Yi Shun",Education,mixed,99.0,28302.0,4.572743282036983,20.52980132450331,15370,48,,,28203.0
"Ingram, Donald K.",Neurology & Neurosurgery,journal_heavy,100.0,15913.0,4.569162873080912,36.90476190476191,34039,87,384.0,32210.0,15813.0
"Konstan, David",Classics,book_heavy,101.0,158170.0,4.566188730130238,0.0,8028,42,154.0,1626.0,158069.0
"Hausman, Daniel M.",Philosophy,book_heavy,102.0,72089.0,4.561256552565989,2.494331065759637,8303,39,122.0,2923.0,71987.0
"MacCormick, Neil",Law,mixed,103.0,132467.0,4.556447978236424,0.0,8092,36,47.0,1749.0,132364.0
"Owen, David",Philosophy,book_heavy,104.0,200467.0,4.555112729298082,10.29023746701847,12517,61,91.0,1210.0,200363.0
"Herholz, Karl",Neurology & Neurosurgery,journal_heavy,105.0,13162.0,4.550599403100932,19.83471074380165,24835,88,,,13057.0
"White, Lawrence J.",Economics,mixed,106.0,133463.0,4.548277945094762,7.7433628318584065,9906,51,134.0,2922.0,133357.0
"Alter, Karen J.",Law,mixed,107.0,49851.0,4.546359833501901,0.0,8387,40,49.0,4263.0,49744.0
"Brunt, Peter A.",Classics,book_heavy,108.0,116579.0,4.545099390472077,0.0,6281,40,32.0,1444.0,116471.0
"Harris, William Vernon",Classics,book_heavy,109.0,173760.0,4.544857403480553,0.0,7699,40,56.0,1246.0,173651.0
"Schiefele, Ulrich",Education,mixed,110.0,91574.0,4.543394159142431,15.2317880794702,13352,49,,,91464.0
"Maxwell, Anthony",Biochemistry & Molecular Biology,journal_heavy,111.0,25840.0,4.525143134321385,15.8311345646438,15856,71,,,25729.0
"Serpell, Louise C.",Biochemistry & Molecular Biology,journal_heavy,112.0,23121.0,4.523379892469982,17.741935483870968,21060,71,,,23009.0
"DeLancey, Scott",Languages & Linguistics,mixed,113.0,204513.0,4.523225525782566,1.8867924528301887,7370,35,30.0,1287.0,204400.0
"MacLennan, Ian C.M.",Immunology,journal_heavy,114.0,17579.0,4.519182155461184,20.930232558139537,15282,57,,,17465.0
"Korup, Oliver",Geography,mixed,115.0,25686.0,4.517574722438707,17.78523489932886,11294,59,,,25571.0
"Brady, Henry E.",Political Science & Public Administration,mixed,116.0,105123.0,4.51748204373074,0.4926108374384236,25409,41,51.0,4853.0,105007.0
"Jasso, Guillermina",Sociology,mixed,117.0,87127.0,4.513515027195829,4.090909090909091,7714,46,94.0,2451.0,87010.0
"Browning, Christopher R.",History,book_heavy,118.0,536584.0,4.50689364743623,12.8,9874,45,38.0,640.0,536466.0
"Bertola, Giuseppe",Economics,mixed,119.0,114376.0,4.506840175683115,7.119741100323624,9282,46,75.0,2402.0,114257.0
"Brünner, Henri",Organic Chemistry,journal_heavy,120.0,16864.0,4.5066910919572285,24.8868778280543,8972,53,527.0,9577.0,16744.0
"Tybout, James R.",Economics,mixed,121.0,116112.0,4.503190367126093,12.264150943396226,11768,39,,,115991.0
"Stanley, Jason",Philosophy,book_heavy,122.0,61899.0,4.50239824284611,0.8130081300813009,8932,34,45.0,4244.0,61777.0
"McBRIDE, John W.",Electrical & Electronic Engineering,journal_heavy,123.0,177744.0,4.501681343172823,25.214899713467048,20321,85,,,177621.0
"van Leeuwen, Floor",Astronomy & Astrophysics,journal_heavy,124.0,23552.0,4.494979266329034,1.6260162601626018,26365,43,,,23428.0
"Hirsch, Marianne",Literary Studies,book_heavy,125.0,230469.0,4.493736572607037,0.5780346820809248,9538,27,28.0,1806.0,230344.0
"Das, D. K.",Biochemistry & Molecular Biology,journal_heavy,126.0,7118.0,4.492076912620381,28.88888888888889,20455,85,711.0,27935.0,6992.0
"Jenkinson, Howard F.",Microbiology,journal_heavy,127.0,31233.0,4.487803331616903,13.333333333333334,14593,69,,,31106.0
"Baker, Gus A.",Neurology & Neurosurgery,journal_heavy,128.0,19788.0,4.487583564190624,40.41297935103245,22105,81,,,19660.0
"Firebaugh, Glenn",Sociology,mixed,129.0,81811.0,4.487559198073038,6.5420560747663545,8341,40,59.0,3966.0,81682.0
"Boyarin, Daniel",Literary Studies,book_heavy,130.0,214283.0,4.48744679356467,0.0,7915,34,65.0,1426.0,214153.0
"Middleton, Frank A.",Neurology & Neurosurgery,journal_heavy,131.0,124765.0,4.486458808184868,29.361702127659573,25123,60,178.0,21239.0,124634.0
"Meltzer, David J.",Archaeology,book_heavy,132.0,43545.0,4.482268501541505,11.428571428571429,10497,56,116.0,6559.0,43413.0
"Morley, Louise",Education,mixed,133.0,69053.0,4.48105717681388,4.365079365079365,5895,43,,,68920.0
"Nisbet, Matthew C.",Communication & Media Studies,mixed,134.0,30874.0,4.47906828519562,4.950495049504951,10982,38,65.0,8384.0,30740.0
"Tolker-Nielsen, Tim",Microbiology,journal_heavy,135.0,32465.0,4.472248731455523,9.345794392523365,26497,83,195.0,20633.0,32330.0
"Fernández-Villaverde, Jesús",Economics,mixed,136.0,120385.0,4.469637027835619,7.05521472392638,11628,57,,,120249.0
"Daniel, Rolf",Microbiology,journal_heavy,137.0,26745.0,4.46458598186307,4.508856682769726,22851,82,455.0,18419.0,26608.0
"Holtz-Eakin, Douglas",Economics,mixed,138.0,137945.0,4.463997844291797,7.55813953488372,12144,36,47.0,3429.0,137807.0
"Kiritsis, E. B.",Nuclear & Particle Physics,journal_heavy,139.0,23407.0,4.463425199861102,21.428571428571427,10634,61,187.0,10094.0,23268.0
"Weber, James L.",Genetics & Heredity,journal_heavy,140.0,15593.0,4.461204221156762,27.604166666666668,21973,60,200.0,24075.0,15453.0
"Rorty, Ámelie Oksenberg",Philosophy,book_heavy,141.0,235767.0,4.45598420455361,0.0,7175,34,61.0,860.0,235626.0
"Lewis, David E.",Political Science & Public Administration,mixed,142.0,109095.0,4.450948619618873,8.571428571428571,12015,28,,,108953.0
"Treiman, Donald J.",Sociology,mixed,143.0,117197.0,4.448724849765805,12.42603550295858,13925,42,41.0,6265.0,117054.0
"de Lange, Floris P.",Neurology & Neurosurgery,journal_heavy,144.0,124827.0,4.445432378107877,15.337423312883436,19985,74,,,124683.0
"Hale, Charles R.",Anthropology,book_heavy,145.0,139826.0,4.443884119471211,5.384615384615385,7410,32,,,139681.0
"Bong, Mimi",Education,mixed,146.0,46184.0,4.442653746050402,14.084507042253522,9556,37,,,46038.0
"Caliendo, Marco",Economics,mixed,147.0,108660.0,4.4380505172696605,7.017543859649122,14322,49,76.0,7051.0,108513.0
"Shea, John J.",Archaeology,book_heavy,148.0,45574.0,4.432563401563467,7.079646017699115,5915,43,,,45426.0
"Kornblith, Hilary",Philosophy,book_heavy,149.0,232447.0,4.43254601338069,0.0,6354,32,,,232298.0
"Hughes, Michael D.",Sociology,mixed,150.0,111801.0,4.432495078358501,8.456659619450317,23421,79,54.0,23858.0,111651.0
"Dillehay, Tom Dalton",Archaeology,book_heavy,151.0,85853.0,4.43210373981624,2.5,7412,45,107.0,3677.0,85702.0
"Adey, Peter",Geography,mixed,152.0,32286.0,4.431988317790417,8.695652173913043,6562,39,97.0,4945.0,32134.0
"Hewitt, Kenneth",Geography,mixed,153.0,24153.0,4.429238427101213,11.016949152542372,7428,36,95.0,6527.0,24000.0
"Bickel, Balthasar",Languages & Linguistics,mixed,154.0,176084.0,4.428392471391327,2.586206896551724,7921,51,86.0,2024.0,175930.0
"Tebo, Bradley M.",Microbiology,journal_heavy,155.0,32451.0,4.425838261178658,12.074303405572756,15539,72,170.0,13330.0,32296.0
"Prosser, Michael T.",Education,mixed,156.0,88339.0,4.42483222239815,5.333333333333334,13978,54,,,88183.0
"Voogt, Joke M.",Education,mixed,157.0,91311.0,4.424139978595591,7.52212389380531,13958,53,,,91154.0
"Schmid, Franz Xaver",Biochemistry & Molecular Biology,journal_heavy,158.0,24713.0,4.423114920733399,28.134556574923547,11119,63,294.0,13094.0,24555.0
"Kristjánsson, Kristján",Education,mixed,159.0,57797.0,4.420948417703061,0.6451612903225806,5753,40,139.0,3174.0,57638.0
"Hedström, Peter",Sociology,mixed,160.0,112030.0,4.418487803712023,2.272727272727273,10388,30,36.0,3495.0,111870.0
"Gile, Daniel",Languages & Linguistics,mixed,161.0,206762.0,4.418120246098188,0.5,5488,33,46.0,1157.0,206601.0
"McCann, Eugene J.",Geography,mixed,162.0,33821.0,4.409595239780023,9.615384615384617,6894,35,,,33659.0
"Leonard, William R.",Anthropology,book_heavy,163.0,41273.0,4.409512190773934,14.814814814814811,14038,63,231.0,9784.0,41110.0
"Tadelis, Steven",Economics,mixed,164.0,134025.0,4.407530948497078,2.857142857142857,8852,43,35.0,3182.0,133861.0
"Haack, Susan",Philosophy,book_heavy,165.0,238633.0,4.406791682725902,0.2915451895043732,5624,33,72.0,876.0,238468.0
"Francis, David J.",Education,mixed,166.0,69690.0,4.406584086392359,8.707865168539326,21277,82,198.0,14027.0,69524.0
"Jacobs, Patricia Ann",Genetics & Heredity,journal_heavy,167.0,25156.0,4.399718633040876,6.95970695970696,13773,60,,,24989.0
"Taniguchi, Naoyuki",Biochemistry & Molecular Biology,journal_heavy,168.0,11279.0,4.39884379578522,30.100334448160535,28493,105,1011.0,40284.0,11111.0
"Brown, Gordon D.A.",Immunology,journal_heavy,169.0,3278.0,4.3931862452442365,17.959183673469386,14197,59,351.0,45280.0,3109.0
"Schmitt, Michael N.",Law,mixed,170.0,247082.0,4.3907038544927,0.2808988764044944,5791,35,73.0,922.0,246912.0
"McCarty, Nolan M.",Political Science & Public Administration,mixed,171.0,114715.0,4.390283170845564,0.0,8798,42,,,114544.0
"Felski, Rita",Literary Studies,book_heavy,172.0,180898.0,4.382506012988506,0.0,6074,31,51.0,1305.0,180726.0
"Buck-Morss, Susan",Literary Studies,book_heavy,173.0,293802.0,4.381374854016179,0.0,7774,28,,,293629.0
"Hatfield, Gary C.",Philosophy,book_heavy,174.0,207509.0,4.379916411887918,2.752293577981652,7670,38,74.0,1047.0,207335.0
"Fox, Danny",Languages & Linguistics,mixed,175.0,202149.0,4.3770992449240085,0.0,7384,29,25.0,2017.0,201974.0
"Fiske, John",Communication & Media Studies,mixed,176.0,172112.0,4.3724428725952995,0.3533568904593639,7076,23,34.0,1779.0,171936.0
"van Bokhoven, Hans",Genetics & Heredity,journal_heavy,177.0,31733.0,4.367515945031233,21.71314741035857,25064,94,328.0,24650.0,31556.0
"Maier, Charles S.",History,book_heavy,178.0,254710.0,4.360101001211431,0.3558718861209964,6473,38,,,254532.0
"Volet, Simone E.",Education,mixed,179.0,87655.0,4.357497635843279,9.523809523809524,8715,46,,,87476.0
"Krauss, Rosalind E.","Art Practice, History & Theory",book_heavy,180.0,1199777.0,4.3570580467350055,0.0,6070,34,31.0,316.0,1199597.0
"Ginsburg, Faye",Anthropology,book_heavy,181.0,161216.0,4.348490316085082,1.7341040462427744,8448,32,61.0,1765.0,161035.0
"Brundage, James A.",History,book_heavy,182.0,547706.0,4.344028252764343,0.5763688760806917,5904,31,34.0,378.0,547524.0
"Brundage, James A.",History,book_heavy,182.0,547706.0,4.344028252764343,0.5763688760806917,5904,31,34.0,378.0,547524.0
"Herrington, Jan",Education,mixed,184.0,285636.0,4.332712287096831,0.5494505494505495,11331,47,,,285452.0
"Jacobs, Jane M.",Geography,mixed,185.0,107740.0,4.330695422180836,4.132231404958678,14020,28,,,107555.0
"McNair, Brian",Communication & Media Studies,mixed,186.0,146339.0,4.330012338767833,0.0,4870,29,65.0,1412.0,146153.0
"Mackenzie, Catriona",Philosophy,book_heavy,187.0,184517.0,4.3188383414023965,1.6666666666666667,5826,34,,,184330.0
"Crane, Tim",Philosophy,book_heavy,188.0,237904.0,4.317462784424481,0.0,4852,33,60.0,1035.0,237716.0
"Carpentier, Jean François",Organic Chemistry,journal_heavy,189.0,25013.0,4.315823770300332,7.878245299910475,16155,73,422.0,18242.0,24824.0
"Ergönül, Önder Onder",Microbiology,journal_heavy,190.0,42336.0,4.314446848221485,33.5149863760218,11196,55,246.0,8626.0,42146.0
"Schäffer, Alejandro A.",Genetics & Heredity,journal_heavy,191.0,17519.0,4.312632141656255,10.59322033898305,28979,78,259.0,89501.0,17328.0
"Gil-Alaña, Luís Albériko",Economics,mixed,192.0,27726.0,4.3073886330827875,17.023346303501945,7826,47,,,27534.0
"Post, Robert C.",Law,mixed,193.0,77985.0,4.302601762462368,4.028436018957346,4620,38,75.0,2740.0,77792.0
"Langanke, Karlheinz",Nuclear & Particle Physics,journal_heavy,194.0,30418.0,4.30175573766558,28.607594936708864,15906,65,373.0,16810.0,30224.0
"Hansen, Miriam Bratu",Literary Studies,book_heavy,195.0,280389.0,4.296828267260016,0.7518796992481203,5150,29,,,280194.0
"Tripp, Aili Mari",Political Science & Public Administration,mixed,196.0,118923.0,4.293243617819561,0.0,4809,34,60.0,1927.0,118727.0
"Foster, Andrew D.",Economics,mixed,197.0,102759.0,4.287783182661871,10.191082802547772,9265,40,,,102562.0
"Schiffer, Stephen",Philosophy,book_heavy,198.0,240474.0,4.286008888330882,0.7633587786259541,4391,28,41.0,1093.0,240276.0
"Whitfield, James F.",Biochemistry & Molecular Biology,journal_heavy,199.0,99212.0,4.285702230090234,33.23863636363637,9412,55,268.0,4850.0,99013.0
"Procter, David J.",Organic Chemistry,journal_heavy,200.0,42078.0,4.284733619362015,3.2948929159802307,13639,67,,,41878.0
"Stahl, Dale O.",Economics,mixed,201.0,124389.0,4.283938026073686,20.0,6644,31,69.0,2469.0,124188.0
"Salomon, Yoram",Biochemistry & Molecular Biology,journal_heavy,202.0,123724.0,4.282979962206328,29.48717948717949,11047,45,119.0,4696.0,123522.0
"Knobloch-Westerwick, Silvia S.",Communication & Media Studies,mixed,203.0,39655.0,4.282123928782392,2.2058823529411766,6271,42,,,39452.0
"Rose, Richard",Political Science & Public Administration,mixed,204.0,17072.0,4.28103036621164,6.588235294117648,20495,72,201.0,9010.0,16868.0
"Seaford, Richard",Classics,book_heavy,205.0,166083.0,4.2748988516128685,0.0,4178,31,55.0,1322.0,165878.0
"Bartkowski, John P.",Religions & Theology,book_heavy,206.0,141234.0,4.268723657378828,3.0303030303030303,6390,43,99.0,3356.0,141028.0
"Combes, Pierre Philippe",Economics,mixed,207.0,108540.0,4.261524440237528,14.965986394557824,7952,34,,,108333.0
"Grimmer, Justin",Political Science & Public Administration,mixed,208.0,109921.0,4.259306248016801,0.8130081300813009,7030,32,,,109713.0
"Fletcher, George P.",Law,mixed,209.0,295947.0,4.2565344279757875,0.0,3994,31,53.0,767.0,295738.0
"Abraham, Soman N.",Immunology,journal_heavy,210.0,137873.0,4.252450646893472,32.8719723183391,17498,74,191.0,13893.0,137663.0
