sample_id,replicate,authfull,field,field_type,institution,scopus_pubs,scopus_citations,scopus_h_index,openalex_found,openalex_id,openalex_name,openalex_pubs,openalex_citations,coverage_ratio,citation_coverage,match_quality,total_works,total_citations,books_count,books_pct,articles_count,oa_count,oa_pct,elsevier_count,elsevier_pct,elsevier_citations,elsevier_citations_pct,wiley_count,wiley_pct,springer_count,springer_pct,plos_count,frontiers_count,oa_publisher_count,oa_publisher_pct
386,1,"Perminova, Irina V.",Environmental Sciences,journal_heavy,Lomonosov Moscow State University,172,2599,24,True,https://openalex.org/A5038585505,Irina V. Perminova,278.0,4721.0,0.6187050359712231,0.5505189578479136,good,278,4721,12,4.316546762589928,266,75,26.978417266187048,20,7.194244604316546,560.0,11.86189366659606,12.0,4.316546762589928,23.0,8.273381294964029,0.0,1.0,1.0,0.3597122302158274
387,1,"Reynisson, Jóhannes",Medicinal & Biomolecular Chemistry,journal_heavy,Keele University,158,2580,26,True,https://openalex.org/A5071321918,Jóhannes Reynisson,258.0,4568.0,0.6124031007751938,0.5647985989492119,good,258,4568,0,0.0,258,166,64.34108527131784,45,17.441860465116278,1605.0,35.135726795096325,24.0,9.30232558139535,7.0,2.7131782945736433,0.0,0.0,0.0,0.0
388,1,"pan, Ci Ling",Optics,journal_heavy,National Tsing Hua University,546,5774,39,True,https://openalex.org/A5009831954,Ci‐Ling Pan,544.0,7793.0,1.0036764705882353,0.7409213396638008,good,544,7793,19,3.4926470588235294,525,70,12.867647058823529,24,4.411764705882353,121.0,1.5526754779930707,2.0,0.3676470588235294,20.0,3.6764705882352944,0.0,0.0,0.0,0.0
389,1,"Brennan, Joseph A.",Otorhinolaryngology,journal_heavy,"San Antonio Military Medical Center, Texas",53,2681,23,True,https://openalex.org/A5113752142,Joseph Brennan,92.0,3226.0,0.5760869565217391,0.8310601363918165,good,92,3226,2,2.1739130434782608,90,16,17.391304347826086,8,8.695652173913043,311.0,9.640421574705519,45.0,48.91304347826087,2.0,2.1739130434782608,0.0,0.0,0.0,0.0
390,1,"Foster, Hal","Art Practice, History & Theory",journal_heavy,Princeton University,55,551,8,True,https://openalex.org/A5068910269,Hal Foster,132.0,4020.0,0.4166666666666667,0.13706467661691543,good,132,4020,46,34.84848484848485,86,15,11.363636363636363,0,0.0,0.0,0.0,1.0,0.7575757575757576,0.0,0.0,0.0,0.0,0.0,0.0
391,1,"Helen Noble, Helen Rose",Nursing,journal_heavy,Queen's University Belfast,161,2654,22,True,https://openalex.org/A5069878278,Helen Noble,271.0,5706.0,0.5940959409594095,0.46512443042411494,good,271,5706,1,0.36900369003690037,270,105,38.74538745387454,12,4.428044280442804,255.0,4.468980021030494,34.0,12.546125461254611,4.0,1.4760147601476015,4.0,1.0,5.0,1.8450184501845017
392,1,"Smart, Roger St C.",Mining & Metallurgy,journal_heavy,University of South Australia,58,12400,19,True,https://openalex.org/A5102915372,Roger St.C. Smart,115.0,21968.0,0.5043478260869565,0.5644573925710124,good,115,21968,9,7.82608695652174,106,5,4.3478260869565215,63,54.78260869565217,18467.0,84.06318281136198,13.0,11.304347826086957,8.0,6.956521739130435,0.0,0.0,0.0,0.0
393,1,"Vinogradov, Alexey P.",Networking & Telecommunications,journal_heavy,"Institute for Theoretical and Applied Electromagnetics, Russian Academy of Sciences",207,1897,19,True,https://openalex.org/A5110587570,А. П. Виноградов,194.0,2043.0,1.0670103092783505,0.9285364659813999,good,194,2043,25,12.886597938144329,169,39,20.103092783505154,11,5.670103092783505,181.0,8.859520313264808,1.0,0.5154639175257731,29.0,14.948453608247423,0.0,0.0,0.0,0.0
394,1,"Ye, Jihong",Civil Engineering,journal_heavy,China University of Mining and Technology,331,2274,23,True,https://openalex.org/A5069255858,Jihong Ye,143.0,1522.0,2.3146853146853146,1.4940867279894876,good,143,1522,4,2.797202797202797,139,20,13.986013986013987,45,31.46853146853147,1052.0,69.11957950065704,2.0,1.3986013986013985,17.0,11.888111888111888,0.0,0.0,0.0,0.0
395,1,"McKinney, William Paul",General & Internal Medicine,journal_heavy,University of Louisville,62,2190,23,True,https://openalex.org/A5098685412,William Paul McKinney,1.0,0.0,62.0,0.0,good,1,0,0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,1,"Narahari, Marneni",Mechanical Engineering & Transports,journal_heavy,Universiti Teknologi PETRONAS,63,1190,18,True,https://openalex.org/A5052184025,Marneni Narahari,72.0,1661.0,0.875,0.7164358819987959,good,72,1661,3,4.166666666666666,69,10,13.88888888888889,12,16.666666666666664,650.0,39.133052378085495,3.0,4.166666666666666,9.0,12.5,0.0,0.0,0.0,0.0
397,1,"Klimov, Victor I.",Nanoscience & Nanotechnology,journal_heavy,Los Alamos National Laboratory Chemistry Division,346,42247,105,True,https://openalex.org/A5075570325,Victor I. Klimov,492.0,51708.0,0.7032520325203252,0.8170302467703257,good,492,51708,11,2.2357723577235773,481,133,27.03252032520325,19,3.861788617886179,353.0,0.6826796627214358,13.0,2.642276422764228,57.0,11.585365853658537,0.0,0.0,0.0,0.0
398,1,"Galagan, Yulia",Applied Physics,journal_heavy,Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO,101,4526,33,True,https://openalex.org/A5017119143,Yulia Galagan,124.0,6671.0,0.8145161290322581,0.6784590016489283,good,124,6671,2,1.6129032258064515,122,48,38.70967741935484,31,25.0,2059.0,30.864937790436215,16.0,12.903225806451612,3.0,2.4193548387096775,0.0,0.0,0.0,0.0
399,1,"Brady, Michael P.",Materials,journal_heavy,Oak Ridge National Laboratory,187,5969,42,True,https://openalex.org/A5085278991,Michael P. Brady,300.0,8042.0,0.6233333333333333,0.7422283014175578,good,300,8042,14,4.666666666666667,286,124,41.333333333333336,72,24.0,3988.0,49.58965431484705,2.0,0.6666666666666667,39.0,13.0,0.0,0.0,0.0,0.0
400,1,"Kishi, Takuya",Cardiovascular System & Hematology,journal_heavy,Digital Health Research Working Group of the Japanese Society of Hypertension,170,3635,32,True,https://openalex.org/A5102768029,Takuya Kishi,418.0,5941.0,0.40669856459330145,0.6118498569264433,good,418,5941,0,0.0,418,147,35.16746411483253,67,16.028708133971293,1030.0,17.337148628177072,58.0,13.875598086124402,34.0,8.133971291866029,4.0,1.0,5.0,1.1961722488038278
